Number of pairs,37329.000000
Number of unique pairs,6667
Average pair frequency,5.599070
Pair entropy,8.481172

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clown oct,3.000000,0.000080,0.000758,0.931727
clown communities,5.000000,0.000134,0.001195,2.030339
clown explosives,3.000000,0.000080,0.000758,3.128951
clown bank,3.000000,0.000080,0.000758,2.841269
clown danger,3.000000,0.000080,0.000758,2.281653
clown continued,3.000000,0.000080,0.000758,1.924978
clown question,5.000000,0.000134,0.001195,2.541165
clown worried,3.000000,0.000080,0.000758,1.662614
clown october,4.000000,0.000107,0.000980,0.988885
clown bed,3.000000,0.000080,0.000758,3.128951
clown gun,5.000000,0.000134,0.001195,2.340494
clown season,3.000000,0.000080,0.000758,2.030339
clown laughing,5.000000,0.000134,0.001195,2.030339
clown terrorize,3.000000,0.000080,0.000758,2.618126
clown response,3.000000,0.000080,0.000758,1.283125
clown babylon,3.000000,0.000080,0.000758,1.924978
clown feeling,3.000000,0.000080,0.000758,1.742657
clown beaver,3.000000,0.000080,0.000758,2.435804
clown phobias,5.000000,0.000134,0.001195,2.792479
clown em,14.000000,0.000375,0.002959,3.128951
clown kiddies,13.000000,0.000348,0.002773,3.054843
clown prince,3.000000,0.000080,0.000758,2.618126
clown georges,3.000000,0.000080,0.000758,2.618126
clown images,6.000000,0.000161,0.001404,2.148122
clown hysteriamost,7.000000,0.000188,0.001609,3.128951
clown spokane,3.000000,0.000080,0.000758,2.148122
clown mass,3.000000,0.000080,0.000758,1.283125
clown zero,3.000000,0.000080,0.000758,2.841269
clown united,4.000000,0.000107,0.000980,1.742657
clown arizona,3.000000,0.000080,0.000758,1.662614
clown peoples,5.000000,0.000134,0.001195,1.965800
clown sales,5.000000,0.000134,0.001195,2.099332
clown whereas,3.000000,0.000080,0.000758,3.128951
clown killed,3.000000,0.000080,0.000758,2.281653
clown riot,3.000000,0.000080,0.000758,3.128951
clown projected,5.000000,0.000134,0.001195,3.352095
clown attacks,5.000000,0.000134,0.001195,2.340494
clown guy,3.000000,0.000080,0.000758,2.435804
clown rubber,3.000000,0.000080,0.000758,2.435804
clown program,3.000000,0.000080,0.000758,2.841269
clown trickster,3.000000,0.000080,0.000758,3.128951
clown unsubstantiated,3.000000,0.000080,0.000758,2.435804
clown hug,7.000000,0.000188,0.001609,3.128951
clown families,5.000000,0.000134,0.001195,2.946630
clown expert,4.000000,0.000107,0.000980,2.905808
clown rising,3.000000,0.000080,0.000758,3.128951
clown sale,3.000000,0.000080,0.000758,2.618126
association convention,3.000000,0.000080,0.000758,6.933046
know clown,10.000000,0.000268,0.002203,0.920677
know creepy,7.000000,0.000188,0.001609,2.257884
know people,6.000000,0.000161,0.001404,1.609122
know clowns,11.000000,0.000295,0.002396,1.449146
know theres,4.000000,0.000107,0.000980,3.276722
know president,3.000000,0.000080,0.000758,4.070845
know reports,3.000000,0.000080,0.000758,1.310835
know safety,4.000000,0.000107,0.000980,3.293817
know community,4.000000,0.000107,0.000980,3.462439
know seriously,4.000000,0.000107,0.000980,3.422434
know someone,3.000000,0.000080,0.000758,2.403139
know prank,7.000000,0.000188,0.001609,4.358527
know threats,3.000000,0.000080,0.000758,1.919083
know briefed,3.000000,0.000080,0.000758,5.457140
know perceived,3.000000,0.000080,0.000758,5.457140
know prudently,3.000000,0.000080,0.000758,5.680283
creepy clown,159.000000,0.004259,0.023251,2.541864
creepy people,15.000000,0.000402,0.003142,1.380281
creepy clowns,92.000000,0.002465,0.014802,2.427907
creepy person,3.000000,0.000080,0.000758,1.117424
creepy media,5.000000,0.000134,0.001195,1.332405
creepy recent,5.000000,0.000134,0.001195,2.114783
creepy uk,3.000000,0.000080,0.000758,2.830403
creepy reported,9.000000,0.000241,0.002008,1.658765
creepy video,3.000000,0.000080,0.000758,2.257884
creepy nothing,3.000000,0.000080,0.000758,2.257884
creepy police,6.000000,0.000161,0.001404,0.075007
creepy reports,15.000000,0.000402,0.003142,1.775141
creepy greenville,3.000000,0.000080,0.000758,0.809458
creepy months,6.000000,0.000161,0.001404,2.830403
creepy spotted,5.000000,0.000134,0.001195,2.648081
creepy facebook,3.000000,0.000080,0.000758,1.514726
creepy carolina,6.000000,0.000161,0.001404,1.603957
creepy incidents,3.000000,0.000080,0.000758,1.762562
creepy sightings,48.000000,0.001286,0.008559,2.967186
creepy woods,5.000000,0.000134,0.001195,0.994192
creepy children,3.000000,0.000080,0.000758,0.304674
creepy found,6.000000,0.000161,0.001404,2.220143
creepy lure,4.000000,0.000107,0.000980,1.564737
creepy white,3.000000,0.000080,0.000758,1.399657
creepy area,3.000000,0.000080,0.000758,1.069415
creepy south,8.000000,0.000214,0.001811,2.058088
creepy social,7.000000,0.000188,0.001609,1.771531
creepy characters,5.000000,0.000134,0.001195,3.387749
creepy august,5.000000,0.000134,0.001195,2.540451
creepy north,3.000000,0.000080,0.000758,1.526996
creepy scare,3.000000,0.000080,0.000758,1.810572
creepy began,3.000000,0.000080,0.000758,2.424938
creepy caused,4.000000,0.000107,0.000980,3.264688
creepy frenzy,3.000000,0.000080,0.000758,3.356496
