Number of pairs,39082.000000
Number of unique pairs,6621
Average pair frequency,5.902734
Pair entropy,8.409873

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clown attempt,4.000000,0.000102,0.000940,1.598377
clown began,12.000000,0.000307,0.002484,1.598377
clown chased,22.000000,0.000563,0.004212,1.788998
clown playground,7.000000,0.000179,0.001545,2.946451
clown darkcolored,3.000000,0.000077,0.000727,2.099153
clown vehicle,5.000000,0.000128,0.001147,1.654467
clown far,4.000000,0.000102,0.000940,0.530537
clown kind,7.000000,0.000179,0.001545,1.420394
clown hoax,10.000000,0.000256,0.002116,1.249002
clown columbus,3.000000,0.000077,0.000727,1.143641
clown dark,3.000000,0.000077,0.000727,0.712858
clown bus,6.000000,0.000154,0.001348,1.357215
clown occurred,4.000000,0.000102,0.000940,1.223684
clown university,5.000000,0.000128,0.001147,0.608498
clown forest,8.000000,0.000205,0.001739,2.050363
clown elementary,4.000000,0.000102,0.000940,1.000540
clown menacing,4.000000,0.000102,0.000940,1.000540
clown charges,6.000000,0.000154,0.001348,0.905230
clown hand,5.000000,0.000128,0.001147,1.734510
clown caused,5.000000,0.000128,0.001147,1.274977
clown nationwide,3.000000,0.000077,0.000727,0.875377
clown frenzy,5.000000,0.000128,0.001147,1.654467
clown roaming,3.000000,0.000077,0.000727,2.099153
clown carrying,10.000000,0.000256,0.002116,2.079350
clown whole,5.000000,0.000128,0.001147,1.446827
clown marketing,5.000000,0.000128,0.001147,1.083922
clown schools,32.000000,0.000819,0.005820,1.119887
clown students,14.000000,0.000358,0.002842,0.461544
clown offering,5.000000,0.000128,0.001147,2.273506
clown picture,7.000000,0.000179,0.001545,1.154691
clown nbc,3.000000,0.000077,0.000727,2.099153
clown flier,7.000000,0.000179,0.001545,2.070982
clown prowling,6.000000,0.000154,0.001348,2.609978
clown england,4.000000,0.000102,0.000940,2.050363
clown emerged,3.000000,0.000077,0.000727,1.511366
clown college,4.000000,0.000102,0.000940,0.562285
clown cheer,15.000000,0.000384,0.003019,2.427657
clown earlier,4.000000,0.000102,0.000940,0.307393
clown terrorized,4.000000,0.000102,0.000940,2.386835
clown movie,6.000000,0.000154,0.001348,1.266244
clown rob,5.000000,0.000128,0.001147,1.916831
clown gang,5.000000,0.000128,0.001147,1.734510
clown ohio,5.000000,0.000128,0.001147,0.722909
clown knife,10.000000,0.000256,0.002116,1.868041
clown victim,3.000000,0.000077,0.000727,0.617548
clown attack,6.000000,0.000154,0.001348,1.629149
clown authorities,6.000000,0.000154,0.001348,0.307393
clown happened,4.000000,0.000102,0.000940,0.664068
clown blue,3.000000,0.000077,0.000727,1.000540
clown view,3.000000,0.000077,0.000727,1.406006
clown image,7.000000,0.000179,0.001545,1.260052
clown serious,4.000000,0.000102,0.000940,0.469912
clown towards,3.000000,0.000077,0.000727,2.099153
clown somebody,4.000000,0.000102,0.000940,1.051834
clown wear,7.000000,0.000179,0.001545,1.611449
clown until,5.000000,0.000128,0.001147,1.386203
clown hurt,6.000000,0.000154,0.001348,1.629149
clown scaring,18.000000,0.000461,0.003539,2.099153
clown neighborhoods,7.000000,0.000179,0.001545,2.476447
clown cars,7.000000,0.000179,0.001545,1.916831
clown performers,3.000000,0.000077,0.000727,1.916831
clown entertainment,4.000000,0.000102,0.000940,1.799048
clown parties,8.000000,0.000205,0.001739,1.981370
clown events,4.000000,0.000102,0.000940,0.860778
clown happy,8.000000,0.000205,0.001739,1.856207
clown business,6.000000,0.000154,0.001348,1.693688
clown terrified,3.000000,0.000077,0.000727,1.143641
clown sinister,3.000000,0.000077,0.000727,0.712858
clown rather,3.000000,0.000077,0.000727,1.629149
clown brand,3.000000,0.000077,0.000727,2.322296
clown wielding,8.000000,0.000205,0.001739,2.204513
clown teachers,5.000000,0.000128,0.001147,1.329044
clown arrests,6.000000,0.000154,0.001348,1.000540
clown disturbing,3.000000,0.000077,0.000727,1.069533
clown country,35.000000,0.000896,0.006285,1.821521
clown terrifying,3.000000,0.000077,0.000727,0.936002
clown problem,6.000000,0.000154,0.001348,1.629149
clown fear,14.000000,0.000358,0.002842,0.783128
clown miles,3.000000,0.000077,0.000727,1.310695
clown chief,3.000000,0.000077,0.000727,0.182230
clown illegal,3.000000,0.000077,0.000727,0.530537
clown themselves,4.000000,0.000102,0.000940,1.105901
clown own,9.000000,0.000230,0.001929,1.811471
clown looked,4.000000,0.000102,0.000940,1.511366
clown number,5.000000,0.000128,0.001147,1.000540
clown attacked,3.000000,0.000077,0.000727,0.764152
clown panic,19.000000,0.000486,0.003709,1.970898
clown press,7.000000,0.000179,0.001545,1.420394
clown terrorizing,6.000000,0.000154,0.001348,2.204513
clown dress,5.000000,0.000128,0.001147,0.785429
clown outfits,11.000000,0.000281,0.002301,2.810649
clown werent,3.000000,0.000077,0.000727,1.406006
clown toward,4.000000,0.000102,0.000940,1.598377
clown side,4.000000,0.000102,0.000940,0.905230
clown killer,5.000000,0.000128,0.001147,0.369269
clown winstonsalem,3.000000,0.000077,0.000727,0.875377
clown treats,5.000000,0.000128,0.001147,2.022192
clown scares,3.000000,0.000077,0.000727,1.916831
clown adult,4.000000,0.000102,0.000940,1.693688
clown overalls,3.000000,0.000077,0.000727,1.762680
